id,sku,marca,link_anterior,link_oferta,titulo,precio_anterior,precio_en_oferta,categoria
133113,4005808336845,Farmacias Central Oeste,https://www.centraloeste.com.ar/nivea-crema-corporal-x-400ml-soft-milk-con-karite-piel-seca.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/nivea-crema-corporal-x-400ml-soft-milk-con-karite-piel-seca.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Corporal Nivea Piel Seca x400ml,390,234,Cosmética y Belleza
133116,7793742002014,Farmacias Central Oeste,https://www.centraloeste.com.ar/hipoglos-protector-dermico-x-30g-cuidado-diario.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/hipoglos-protector-dermico-x-30g-cuidado-diario.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Protector Dérmico Hipoglos Cuidado Diario x30gr,450,270,Cosmética y Belleza
133120,7793742007675,Farmacias Central Oeste,https://www.centraloeste.com.ar/dermaglos-crema-corporal-x-300ml-regeneracion-intensiva.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/dermaglos-crema-corporal-x-300ml-regeneracion-intensiva.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Dermaglos Corporal Regeneración Intensiva x300ml,1160,696,Cosmética y Belleza
133141,7798140259084,Farmacias Central Oeste,https://www.centraloeste.com.ar/7798140259084-goicoechea-crema-corporal-x400ml-detox.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7798140259084-goicoechea-crema-corporal-x400ml-detox.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Corporal Goicoechea Détox x400ml,660,396,Cosmética y Belleza
133144,7798140253310,Farmacias Central Oeste,https://www.centraloeste.com.ar/7798140253310-cicatricure-contorno-de-ojos-15g-duo-gold-lift.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7798140253310-cicatricure-contorno-de-ojos-15g-duo-gold-lift.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Contorno De Ojos Cicatricure Dúo Gold Lift x15gr,1590,954,Cosmética y Belleza
133146,7790010616775,Farmacias Central Oeste,https://www.centraloeste.com.ar/carefree-protectores-x-60un-brisa-tanga-sin-perfume.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/carefree-protectores-x-60un-brisa-tanga-sin-perfume.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Protectores Diarios Carefree Brisa Tanga Sin Perf x60un,460,276,Cosmética y Belleza
133148,7891010882983,Farmacias Central Oeste,https://www.centraloeste.com.ar/neutrogena-crema-facial-x-50g-hydro-boost-water-gel.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/neutrogena-crema-facial-x-50g-hydro-boost-water-gel.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Facial Neutrogena Hydro Boost Water Gel x50gr,880,528,Cosmética y Belleza
133149,7793008016649,Farmacias Central Oeste,https://www.centraloeste.com.ar/7793008016649-villeneuve-jabon-liquido-x200ml-antibacterial-doy-pack.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7793008016649-villeneuve-jabon-liquido-x200ml-antibacterial-doy-pack.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Jabón Liquido Villeneuve Antibacterial Repuesto x200ml,140,84,Alimentos y Bebidas
133150,7891150050488,Farmacias Central Oeste,https://www.centraloeste.com.ar/dove-shampoo-x-400ml-hidratacion-intensa.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/dove-shampoo-x-400ml-hidratacion-intensa.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Shampoo Dove Hidratación Intensa x400ml,370,222,Alimentos y Bebidas
133152,7791293012087,Farmacias Central Oeste,https://www.centraloeste.com.ar/dove-men-antitranspirante-x-89grs-cuidado-total.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/dove-men-antitranspirante-x-89grs-cuidado-total.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Antitranspirante Dove Men Cuidado Total x89gr,210,126,Alimentos y Bebidas
